CBSA,Core Based Statistical Area,Pollutant,Trend Statistic,Number of Trend Sites,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Target Geo Id 2000,Target Geo Id2 2000,Geographical Area_x,MSA,Population 2000,Housing  units 2000,Area in square miles - Total area 2000,Area in square miles - Water area 2000,Area in square miles - Land area 2000,Density per square mile of land area - Population 2000,Density per square mile of land area - Housing  units 2000,Target Geo Id 2010,Target Geo Id2 2010,Geographical Area_y,Population 2010,Housing units 2010,Area in square miles - Total area 2010,Area in square miles - Water area 2010,Area in square miles - Land area 2010,Density per square mile of land area - Population 2010,Density per square mile of land area - Housing units 2010
10580,"Albany-Schenectady-Troy, NY",O3,4th Max,2,0.086,0.086,0.086,0.082,0.08,0.079,0.077,0.08,0.079,0.088,0.07,0.089,0.091,0.081,0.075,0.082,0.07,0.078,0.078,0.066,0.072,0.066,0.071,0.063,0.061,0.062,0.068,3800000US0160,160,"United States - In metropolitan statistical area - Albany-Schenectady-Troy, NY MSA","Albany-Schenectady-Troy, NY MSA",875583,386262,3288.62,66.42,3222.19,271.7,119.9,310M100US10580,10580,"United States - In metropolitan statistical area - Albany-Schenectady-Troy, NY MSA",870716,393297,2878.22,66.66,2811.55,309.7,139.9
10740,"Albuquerque, NM",NO2,98th Percentile,1,72,77,83,88,78,67,75,80,57,56,55,54,57,55,52,51,53,64,65,48,53,50,49,45,42,43,44,3800000US0200,200,"United States - In metropolitan statistical area - Albuquerque, NM MSA","Albuquerque, NM MSA",712738,298583,5951.18,8.18,5943,119.9,50.2,310M100US10740,10740,"United States - In metropolitan statistical area - Albuquerque, NM MSA",887077,374404,9297.16,14.66,9282.5,95.6,40.3
10740,"Albuquerque, NM",PM10,2nd Max,2,51.5,61.5,42.5,60,45,48.5,36.5,47,38.7,41.3,35.5,38,53,60,28,46,32,30,28.5,33,21.5,91,58,57,63,32,41.5,3800000US0200,200,"United States - In metropolitan statistical area - Albuquerque, NM MSA","Albuquerque, NM MSA",712738,298583,5951.18,8.18,5943,119.9,50.2,310M100US10740,10740,"United States - In metropolitan statistical area - Albuquerque, NM MSA",887077,374404,9297.16,14.66,9282.5,95.6,40.3
10740,"Albuquerque, NM",NO2,Annual Mean,1,18,2,21,24,23,18,22,19,16,16,17,17,19,18,17,16,15,15,13,12,12,13,14,12,12,11,10,3800000US0200,200,"United States - In metropolitan statistical area - Albuquerque, NM MSA","Albuquerque, NM MSA",712738,298583,5951.18,8.18,5943,119.9,50.2,310M100US10740,10740,"United States - In metropolitan statistical area - Albuquerque, NM MSA",887077,374404,9297.16,14.66,9282.5,95.6,40.3
10740,"Albuquerque, NM",CO,2nd Max,1,5.1,5.5,4.4,5,4.5,3.8,4.1,3.5,3.7,3.8,3.3,2.9,2.8,2.1,2.2,2,2,1.6,1.2,1.1,1.1,1.3,1.6,0.9,1.2,1.4,1.2,3800000US0200,200,"United States - In metropolitan statistical area - Albuquerque, NM MSA","Albuquerque, NM MSA",712738,298583,5951.18,8.18,5943,119.9,50.2,310M100US10740,10740,"United States - In metropolitan statistical area - Albuquerque, NM MSA",887077,374404,9297.16,14.66,9282.5,95.6,40.3
10740,"Albuquerque, NM",O3,4th Max,3,0.072,0.067,0.064,0.064,0.074,0.07,0.067,0.066,0.071,0.072,0.072,0.071,0.074,0.076,0.071,0.073,0.071,0.069,0.064,0.064,0.066,0.069,0.07,0.067,0.062,0.066,0.065,3800000US0200,200,"United States - In metropolitan statistical area - Albuquerque, NM MSA","Albuquerque, NM MSA",712738,298583,5951.18,8.18,5943,119.9,50.2,310M100US10740,10740,"United States - In metropolitan statistical area - Albuquerque, NM MSA",887077,374404,9297.16,14.66,9282.5,95.6,40.3
11020,"Altoona, PA",SO2,99th Percentile,1,119,100,94,76,103,70,75,73,59,71,62,68,51,62,61,72,48,56,55,51,36,32,28,29,30,31,13,3800000US0280,280,"United States - In metropolitan statistical area - Altoona, PA MSA","Altoona, PA MSA",129144,55061,527.11,1.31,525.8,245.6,104.7,310M100US11020,11020,"United States - In metropolitan statistical area - Altoona, PA MSA",127089,56276,527.07,1.27,525.8,241.7,107
11020,"Altoona, PA",O3,4th Max,1,0.081,0.092,0.079,0.086,0.092,0.091,0.083,0.096,0.098,0.091,0.08,0.083,0.089,0.083,0.073,0.077,0.071,0.071,0.075,0.065,0.072,0.074,0.08,0.065,0.06,0.069,0.062,3800000US0280,280,"United States - In metropolitan statistical area - Altoona, PA MSA","Altoona, PA MSA",129144,55061,527.11,1.31,525.8,245.6,104.7,310M100US11020,11020,"United States - In metropolitan statistical area - Altoona, PA MSA",127089,56276,527.07,1.27,525.8,241.7,107
11260,"Anchorage, AK",CO,2nd Max,1,9.7,8.4,10.8,9.7,8.6,7.4,8.7,7.1,8.4,7.8,5.4,5.7,4.7,5.7,6.4,4.8,4.3,3.6,3.8,4.4,3.8,3.6,4.3,3.1,2.5,2.8,3,3800000US0380,380,"United States - In metropolitan statistical area - Anchorage, AK MSA","Anchorage, AK MSA",260283,100368,1961.09,263.88,1697.21,153.4,59.1,310M100US11260,11260,"United States - In metropolitan statistical area - Anchorage, AK MSA",380821,154361,27218.61,906.03,26312.58,14.5,5.9
11700,"Asheville, NC",O3,4th Max,1,0.073,0.063,0.064,0.066,0.069,0.076,0.074,0.075,0.09,0.084,0.09,0.076,0.09,0.07,0.073,0.079,0.071,0.073,0.071,0.064,0.071,0.067,0.067,0.061,0.064,0.065,0.062,3800000US0480,480,"United States - In metropolitan statistical area - Asheville, NC MSA","Asheville, NC MSA",225965,103695,1111.39,5.98,1105.41,204.4,93.8,310M100US11700,11700,"United States - In metropolitan statistical area - Asheville, NC MSA",424858,213637,2041.43,8.43,2033,209,105.1
12940,"Baton Rouge, LA",SO2,99th Percentile,1,104,128,142,116,128,136,139,197,141,143,151,126,137,114,137,167,137,135,133,140,87,48,32,27,25,18,22,3800000US0760,760,"United States - In metropolitan statistical area - Baton Rouge, LA MSA","Baton Rouge, LA MSA",602894,242827,1679.89,93.71,1586.18,380.1,153.1,310M100US12940,12940,"United States - In metropolitan statistical area - Baton Rouge, LA MSA",802484,329729,4214.53,187.61,4026.92,199.3,81.9
12940,"Baton Rouge, LA",NO2,98th Percentile,2,48,48,48,48,41,41,42,44,46,46,47,46,40,40,40,38,39,37,35,39,35,32,30,28,30,28,28,3800000US0760,760,"United States - In metropolitan statistical area - Baton Rouge, LA MSA","Baton Rouge, LA MSA",602894,242827,1679.89,93.71,1586.18,380.1,153.1,310M100US12940,12940,"United States - In metropolitan statistical area - Baton Rouge, LA MSA",802484,329729,4214.53,187.61,4026.92,199.3,81.9
12940,"Baton Rouge, LA",NO2,Annual Mean,2,10,10,10,10,11,10,10,10,10,10,11,10,10,10,9,9,9,9,8,8,7,6,6,6,6,6,6,3800000US0760,760,"United States - In metropolitan statistical area - Baton Rouge, LA MSA","Baton Rouge, LA MSA",602894,242827,1679.89,93.71,1586.18,380.1,153.1,310M100US12940,12940,"United States - In metropolitan statistical area - Baton Rouge, LA MSA",802484,329729,4214.53,187.61,4026.92,199.3,81.9
12940,"Baton Rouge, LA",CO,2nd Max,1,4.6,4.6,4.6,9,4.6,3.4,4.7,5.4,3.9,4.5,3.6,4.8,3.7,3.1,2.7,2.1,3.3,1.6,1.8,1.1,2,1.4,1.7,1.8,1.3,1.2,1.1,3800000US0760,760,"United States - In metropolitan statistical area - Baton Rouge, LA MSA","Baton Rouge, LA MSA",602894,242827,1679.89,93.71,1586.18,380.1,153.1,310M100US12940,12940,"United States - In metropolitan statistical area - Baton Rouge, LA MSA",802484,329729,4214.53,187.61,4026.92,199.3,81.9
12940,"Baton Rouge, LA",O3,4th Max,3,0.105,0.089,0.081,0.078,0.082,0.091,0.085,0.087,0.087,0.087,0.09,0.077,0.077,0.09,0.083,0.09,0.088,0.081,0.074,0.076,0.075,0.078,0.074,0.064,0.071,0.069,0.066,3800000US0760,760,"United States - In metropolitan statistical area - Baton Rouge, LA MSA","Baton Rouge, LA MSA",602894,242827,1679.89,93.71,1586.18,380.1,153.1,310M100US12940,12940,"United States - In metropolitan statistical area - Baton Rouge, LA MSA",802484,329729,4214.53,187.61,4026.92,199.3,81.9
13140,"Beaumont-Port Arthur, TX",SO2,99th Percentile,2,200,200,120,151,175,104,123,123,115,96,135,91,79,78,80,79,161,87,72,82,75,44,50,34,36,38,42,3800000US0840,840,"United States - In metropolitan statistical area - Beaumont-Port Arthur, TX MSA","Beaumont-Port Arthur, TX MSA",385090,156697,2388.17,233.89,2154.28,178.8,72.7,310M100US13140,13140,"United States - In metropolitan statistical area - Beaumont-Port Arthur, TX MSA",388745,162334,2389.73,289.2,2100.53,185.1,77.3
13140,"Beaumont-Port Arthur, TX",NO2,98th Percentile,1,50,50,50,67,57,46,46,45,44,53,41,49,42,43,44,39,40,43,45,37,39,38,34,33,33,32,30,3800000US0840,840,"United States - In metropolitan statistical area - Beaumont-Port Arthur, TX MSA","Beaumont-Port Arthur, TX MSA",385090,156697,2388.17,233.89,2154.28,178.8,72.7,310M100US13140,13140,"United States - In metropolitan statistical area - Beaumont-Port Arthur, TX MSA",388745,162334,2389.73,289.2,2100.53,185.1,77.3
13140,"Beaumont-Port Arthur, TX",NO2,Annual Mean,2,8,9,10,9,10,10,10,10,8,10,8,9,8,8,8,8,8,7,7,6,7,6,6,6,5,5,5,3800000US0840,840,"United States - In metropolitan statistical area - Beaumont-Port Arthur, TX MSA","Beaumont-Port Arthur, TX MSA",385090,156697,2388.17,233.89,2154.28,178.8,72.7,310M100US13140,13140,"United States - In metropolitan statistical area - Beaumont-Port Arthur, TX MSA",388745,162334,2389.73,289.2,2100.53,185.1,77.3
13140,"Beaumont-Port Arthur, TX",O3,4th Max,3,0.087,0.097,0.094,0.088,0.081,0.098,0.082,0.092,0.086,0.072,0.091,0.077,0.078,0.082,0.08,0.079,0.083,0.075,0.069,0.072,0.077,0.076,0.071,0.064,0.064,0.069,0.061,3800000US0840,840,"United States - In metropolitan statistical area - Beaumont-Port Arthur, TX MSA","Beaumont-Port Arthur, TX MSA",385090,156697,2388.17,233.89,2154.28,178.8,72.7,310M100US13140,13140,"United States - In metropolitan statistical area - Beaumont-Port Arthur, TX MSA",388745,162334,2389.73,289.2,2100.53,185.1,77.3
13380,"Bellingham, WA",O3,4th Max,1,0.061,0.058,0.056,0.058,0.059,0.054,0.062,0.052,0.056,0.05,0.052,0.05,0.053,0.056,0.062,0.055,0.055,0.052,0.049,0.046,0.048,0.043,0.047,0.043,0.046,0.048,0.045,3800000US0860,860,"United States - In metropolitan statistical area - Bellingham, WA MSA","Bellingham, WA MSA",166814,73893,2503.55,384.02,2119.53,78.7,34.9,310M100US13380,13380,"United States - In metropolitan statistical area - Bellingham, WA MSA",201140,90665,2503.47,396.61,2106.86,95.5,43
13740,"Billings, MT",SO2,99th Percentile,2,298,257,265,337,230,241,224,110,94,104,98,100,101,105,89,59,51,64,58,49,88,70,56,39,68,46,31,3800000US0880,880,"United States - In metropolitan statistical area - Billings, MT MSA","Billings, MT MSA",129352,54563,2649.05,13.9,2635.15,49.1,20.7,310M100US13740,13740,"United States - In metropolitan statistical area - Billings, MT MSA",158050,70384,4711.19,29.11,4682.08,33.8,15
13900,"Bismarck, ND",SO2,99th Percentile,1,68,68,68,59,50,69,66,55,72,88,65,62,59,69,69,61,45,63,55,42,59,52,40,24,9,9,11,3800000US1010,1010,"United States - In metropolitan statistical area - Bismarck, ND MSA","Bismarck, ND MSA",94719,39590,3613.32,53.96,3559.36,26.6,11.1,310M100US13900,13900,"United States - In metropolitan statistical area - Bismarck, ND MSA",108779,47833,3613.74,54.82,3558.92,30.6,13.4
13900,"Bismarck, ND",O3,4th Max,1,0.059,0.059,0.061,0.053,0.057,0.057,0.057,0.062,0.06,0.059,0.055,0.057,0.058,0.062,0.05,0.057,0.064,0.059,0.06,0.057,0.061,0.058,0.057,0.061,0.06,0.064,0.054,3800000US1010,1010,"United States - In metropolitan statistical area - Bismarck, ND MSA","Bismarck, ND MSA",94719,39590,3613.32,53.96,3559.36,26.6,11.1,310M100US13900,13900,"United States - In metropolitan statistical area - Bismarck, ND MSA",108779,47833,3613.74,54.82,3558.92,30.6,13.4
13900,"Bismarck, ND",NO2,Annual Mean,1,0,1,1,1,2,2,1,2,2,3,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3800000US1010,1010,"United States - In metropolitan statistical area - Bismarck, ND MSA","Bismarck, ND MSA",94719,39590,3613.32,53.96,3559.36,26.6,11.1,310M100US13900,13900,"United States - In metropolitan statistical area - Bismarck, ND MSA",108779,47833,3613.74,54.82,3558.92,30.6,13.4
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",SO2,99th Percentile,1,89,218,86,72,63,63,70,67,67,60,81,69,50,63,44,37,28,27,20,20,15,22,14,11,8,11,7,3800000US1280,1280,"United States - In metropolitan statistical area - Buffalo-Niagara Falls, NY MSA","Buffalo-Niagara Falls, NY MSA",1170111,511583,2366.73,799.57,1567.16,746.6,326.4,310M100US15380,15380,"United States - In metropolitan statistical area - Buffalo-Niagara Falls, NY MSA",1135509,519094,2366.52,801.47,1565.05,725.5,331.7
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",NO2,Annual Mean,1,23,22,21,19,21,21,22,20,21,22,22,21,20,20,18,19,16,16,15,14,13,13,10,10,9,11,10,3800000US1280,1280,"United States - In metropolitan statistical area - Buffalo-Niagara Falls, NY MSA","Buffalo-Niagara Falls, NY MSA",1170111,511583,2366.73,799.57,1567.16,746.6,326.4,310M100US15380,15380,"United States - In metropolitan statistical area - Buffalo-Niagara Falls, NY MSA",1135509,519094,2366.52,801.47,1565.05,725.5,331.7
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",CO,2nd Max,1,3.5,3.8,6.1,4.4,4.2,3.1,3.7,3.3,3.1,2.2,2,1.9,1.8,2.4,1.4,1.6,1.7,1.1,1,1.1,1.3,1.4,1.1,1.3,1.3,1.5,0.9,3800000US1280,1280,"United States - In metropolitan statistical area - Buffalo-Niagara Falls, NY MSA","Buffalo-Niagara Falls, NY MSA",1170111,511583,2366.73,799.57,1567.16,746.6,326.4,310M100US15380,15380,"United States - In metropolitan statistical area - Buffalo-Niagara Falls, NY MSA",1135509,519094,2366.52,801.47,1565.05,725.5,331.7
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",O3,4th Max,2,0.089,0.094,0.08,0.077,0.082,0.088,0.078,0.077,0.092,0.089,0.083,0.099,0.102,0.092,0.078,0.09,0.079,0.084,0.075,0.066,0.072,0.071,0.081,0.068,0.062,0.069,0.072,3800000US1280,1280,"United States - In metropolitan statistical area - Buffalo-Niagara Falls, NY MSA","Buffalo-Niagara Falls, NY MSA",1170111,511583,2366.73,799.57,1567.16,746.6,326.4,310M100US15380,15380,"United States - In metropolitan statistical area - Buffalo-Niagara Falls, NY MSA",1135509,519094,2366.52,801.47,1565.05,725.5,331.7
15940,"Canton-Massillon, OH",O3,4th Max,2,0.088,0.091,0.079,0.09,0.084,0.093,0.085,0.083,0.096,0.09,0.084,0.089,0.096,0.087,0.075,0.081,0.077,0.086,0.077,0.064,0.079,0.079,0.074,0.069,0.063,0.07,0.072,3800000US1320,1320,"United States - In metropolitan statistical area - Canton-Massillon, OH MSA","Canton-Massillon, OH MSA",406934,170040,979.92,9.11,970.81,419.2,175.2,310M100US15940,15940,"United States - In metropolitan statistical area - Canton-Massillon, OH MSA",404422,178913,979.46,9.58,969.88,417,184.5
16740,"Charlotte-Concord-Gastonia, NC-SC",O3,4th Max,2,0.098,0.091,0.085,0.098,0.089,0.094,0.099,0.098,0.107,0.104,0.094,0.093,0.101,0.081,0.08,0.088,0.086,0.092,0.083,0.07,0.08,0.083,0.079,0.064,0.066,0.066,0.066,3800000US1520,1520,"United States - In metropolitan statistical area - Charlotte-Gastonia-Rock Hill, NC-SC MSA","Charlotte-Gastonia-Rock Hill, NC-SC MSA",1499293,615923,3440.94,64.14,3376.81,444,182.4,310M100US16740,16740,"United States - In metropolitan statistical area - Charlotte-Gastonia-Rock Hill, NC-SC MSA",1758038,737775,3146.9,61.72,3085.19,569.8,239.1
16860,"Chattanooga, TN-GA",PM10,2nd Max,1,75,83,67,63,66,59,65,51,51,49,67,64,46,49,41,45,43,44,35,22,38,33,28,31,23,23,23,3800000US1560,1560,"United States - In metropolitan statistical area - Chattanooga, TN-GA MSA","Chattanooga, TN-GA MSA",465161,200427,1871.89,48.31,1823.58,255.1,109.9,310M100US16860,16860,"United States - In metropolitan statistical area - Chattanooga, TN-GA MSA",528143,234440,2137.82,48.85,2088.97,252.8,112.2
16860,"Chattanooga, TN-GA",O3,4th Max,1,0.091,0.082,0.078,0.087,0.084,0.086,0.085,0.089,0.097,0.098,0.098,0.082,0.099,0.08,0.076,0.077,0.088,0.085,0.076,0.066,0.076,0.074,0.077,0.061,0.064,0.068,0.065,3800000US1560,1560,"United States - In metropolitan statistical area - Chattanooga, TN-GA MSA","Chattanooga, TN-GA MSA",465161,200427,1871.89,48.31,1823.58,255.1,109.9,310M100US16860,16860,"United States - In metropolitan statistical area - Chattanooga, TN-GA MSA",528143,234440,2137.82,48.85,2088.97,252.8,112.2
17900,"Columbia, SC",O3,4th Max,1,0.093,0.074,0.07,0.089,0.082,0.079,0.077,0.086,0.098,0.094,0.096,0.082,0.084,0.075,0.082,0.082,0.082,0.077,0.077,0.064,0.07,0.077,0.065,0.053,0.056,0.056,0.065,3800000US1760,1760,"United States - In metropolitan statistical area - Columbia, SC MSA","Columbia, SC MSA",536691,220771,1529.6,73.93,1455.67,368.7,151.7,310M100US17900,17900,"United States - In metropolitan statistical area - Columbia, SC MSA",767598,331470,3834.02,131.27,3702.75,207.3,89.5
17980,"Columbus, GA-AL",O3,4th Max,1,0.071,0.071,0.079,0.077,0.075,0.089,0.08,0.08,0.091,0.089,0.087,0.073,0.079,0.07,0.068,0.078,0.08,0.083,0.073,0.065,0.068,0.068,0.066,0.06,0.061,0.062,0.065,3800000US1800,1800,"United States - In metropolitan statistical area - Columbus, GA-AL MSA","Columbus, GA-AL MSA",274624,112617,1592.48,22.44,1570.04,174.9,71.7,310M100US17980,17980,"United States - In metropolitan statistical area - Columbus, GA-AL MSA",294865,128214,1959.8,23.67,1936.13,152.3,66.2
18140,"Columbus, OH",PM10,2nd Max,1,91,79,79,74,78,77,60,72,83,86,73,68,77,76,77,85,55,76,79,49,126,71,62,41,46,51,52,3800000US1840,1840,"United States - In metropolitan statistical area - Columbus, OH MSA","Columbus, OH MSA",1540157,653067,3169.24,28,3141.24,490.3,207.9,310M100US18140,18140,"United States - In metropolitan statistical area - Columbus, OH MSA",1836536,792340,4014.17,46.96,3967.2,462.9,199.7
18140,"Columbus, OH",CO,2nd Max,1,4.8,6.5,5.8,5.3,4.1,4.9,2.7,2.9,3.7,2.5,2.8,2.6,2.5,3,2.6,2,2.1,1.6,1.6,1.5,1.7,1.5,1.6,1,1.3,1.5,1.8,3800000US1840,1840,"United States - In metropolitan statistical area - Columbus, OH MSA","Columbus, OH MSA",1540157,653067,3169.24,28,3141.24,490.3,207.9,310M100US18140,18140,"United States - In metropolitan statistical area - Columbus, OH MSA",1836536,792340,4014.17,46.96,3967.2,462.9,199.7
18140,"Columbus, OH",O3,4th Max,2,0.09,0.098,0.083,0.083,0.087,0.091,0.09,0.088,0.095,0.093,0.085,0.083,0.096,0.084,0.074,0.084,0.075,0.079,0.07,0.069,0.073,0.075,0.077,0.065,0.067,0.066,0.069,3800000US1840,1840,"United States - In metropolitan statistical area - Columbus, OH MSA","Columbus, OH MSA",1540157,653067,3169.24,28,3141.24,490.3,207.9,310M100US18140,18140,"United States - In metropolitan statistical area - Columbus, OH MSA",1836536,792340,4014.17,46.96,3967.2,462.9,199.7
18580,"Corpus Christi, TX",SO2,99th Percentile,1,70,70,90,110,93,96,50,39,47,40,33,28,28,39,40,33,22,17,24,12,16,9,5,4,4,3,3,3800000US1880,1880,"United States - In metropolitan statistical area - Corpus Christi, TX MSA","Corpus Christi, TX MSA",380783,147905,1873.48,346.01,1527.47,249.3,96.8,310M100US18580,18580,"United States - In metropolitan statistical area - Corpus Christi, TX MSA",428185,182909,2401.53,617.53,1784.01,240,102.5
18580,"Corpus Christi, TX",O3,4th Max,2,0.081,0.073,0.079,0.081,0.079,0.089,0.08,0.074,0.082,0.085,0.082,0.075,0.081,0.08,0.074,0.068,0.07,0.069,0.072,0.066,0.073,0.077,0.067,0.066,0.066,0.064,0.062,3800000US1880,1880,"United States - In metropolitan statistical area - Corpus Christi, TX MSA","Corpus Christi, TX MSA",380783,147905,1873.48,346.01,1527.47,249.3,96.8,310M100US18580,18580,"United States - In metropolitan statistical area - Corpus Christi, TX MSA",428185,182909,2401.53,617.53,1784.01,240,102.5
19340,"Davenport-Moline-Rock Island, IA-IL",SO2,99th Percentile,1,64,61,58,55,53,51,42,53,52,45,46,36,25,30,34,37,29,17,12,14,17,19,12,15,10,7,4,3800000US1960,1960,"United States - In metropolitan statistical area - Davenport-Moline-Rock Island, IA-IL MSA","Davenport-Moline-Rock Island, IA-IL MSA",359062,151408,1744.93,37.03,1707.9,210.2,88.7,310M100US19340,19340,"United States - In metropolitan statistical area - Davenport-Moline-Rock Island, IA-IL MSA",379690,167110,2313.84,43.92,2269.91,167.3,73.6
19500,"Decatur, IL",SO2,99th Percentile,1,101,84,61,61,89,71,62,62,60,101,58,65,41,49,45,44,46,51,44,36,49,33,38,33,38,39,54,3800000US2040,2040,"United States - In metropolitan statistical area - Decatur, IL MSA","Decatur, IL MSA",114706,50241,585.38,4.86,580.52,197.6,86.5,310M100US19500,19500,"United States - In metropolitan statistical area - Decatur, IL MSA",110768,50475,585.86,5.18,580.69,190.8,86.9
19500,"Decatur, IL",O3,4th Max,1,0.076,0.087,0.078,0.065,0.079,0.08,0.094,0.077,0.078,0.087,0.077,0.071,0.085,0.071,0.064,0.076,0.071,0.077,0.066,0.067,0.069,0.075,0.076,0.064,0.067,0.066,0.066,3800000US2040,2040,"United States - In metropolitan statistical area - Decatur, IL MSA","Decatur, IL MSA",114706,50241,585.38,4.86,580.52,197.6,86.5,310M100US19500,19500,"United States - In metropolitan statistical area - Decatur, IL MSA",110768,50475,585.86,5.18,580.69,190.8,86.9
