CBSA,Core Based Statistical Area,Pollutant,Trend Statistic,Number of Trend Sites,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Target Geo Id 2000,Target Geo Id2 2000,Geographical Area_x,MSA,Population 2000,Housing  units 2000,Area in square miles - Total area 2000,Area in square miles - Water area 2000,Area in square miles - Land area 2000,Density per square mile of land area - Population 2000,Density per square mile of land area - Housing  units 2000,Target Geo Id 2010,Target Geo Id2 2010,Geographical Area_y,Population 2010,Housing units 2010,Area in square miles - Total area 2010,Area in square miles - Water area 2010,Area in square miles - Land area 2010,Density per square mile of land area - Population 2010,Density per square mile of land area - Housing units 2010
29740,"Las Cruces, NM",O3,4th Max,2,0.074,0.074,0.075,0.078,0.079,0.08,0.079,0.071,0.076,0.078,0.077,0.073,0.077,0.078,0.07,0.07,0.073,0.069,0.068,0.063,0.063,0.065,0.074,0.063,0.066,0.069,0.065,3800000US4100,4100,"United States - In metropolitan statistical area - Las Cruces, NM MSA","Las Cruces, NM MSA",174682,65210,3814.62,7.44,3807.18,45.9,17.1,310M100US29740,29740,"United States - In metropolitan statistical area - Las Cruces, NM MSA",209233,81492,3814.38,6.87,3807.51,55,21.4
30700,"Lincoln, NE",O3,4th Max,1,0.057,0.06,0.067,0.049,0.062,0.06,0.054,0.054,0.058,0.053,0.057,0.051,0.054,0.06,0.056,0.056,0.056,0.054,0.051,0.053,0.05,0.053,0.058,0.055,0.061,0.061,0.058,3800000US4360,4360,"United States - In metropolitan statistical area - Lincoln, NE MSA","Lincoln, NE MSA",250291,104217,846.71,7.83,838.88,298.4,124.2,310M100US30700,30700,"United States - In metropolitan statistical area - Lincoln, NE MSA",302157,127750,1422.27,13.29,1408.98,214.5,90.7
31540,"Madison, WI",O3,4th Max,2,0.077,0.082,0.079,0.062,0.07,0.084,0.082,0.076,0.076,0.086,0.072,0.078,0.081,0.078,0.065,0.079,0.066,0.079,0.064,0.063,0.062,0.068,0.074,0.067,0.068,0.064,0.068,3800000US4720,4720,"United States - In metropolitan statistical area - Madison, WI MSA","Madison, WI MSA",426526,180398,1238.32,36.42,1201.89,354.9,150.1,310M100US31540,31540,"United States - In metropolitan statistical area - Madison, WI MSA",568593,252878,2802.15,76.8,2725.35,208.6,92.8
32900,"Merced, CA",NO2,Annual Mean,1,15,15,15,14,13,12,12,13,12,13,12,12,12,12,11,11,10,9,9,8,7,7,7,8,8,7,7,3800000US4940,4940,"United States - In metropolitan statistical area - Merced, CA MSA","Merced, CA MSA",210554,68373,1971.87,43.18,1928.69,109.2,35.5,310M100US32900,32900,"United States - In metropolitan statistical area - Merced, CA MSA",255793,83698,1978.51,43.54,1934.97,132.2,43.3
32900,"Merced, CA",O3,4th Max,1,0.102,0.102,0.102,0.096,0.097,0.107,0.102,0.074,0.112,0.105,0.103,0.096,0.105,0.107,0.096,0.083,0.087,0.087,0.105,0.08,0.09,0.082,0.079,0.083,0.082,0.083,0.082,3800000US4940,4940,"United States - In metropolitan statistical area - Merced, CA MSA","Merced, CA MSA",210554,68373,1971.87,43.18,1928.69,109.2,35.5,310M100US32900,32900,"United States - In metropolitan statistical area - Merced, CA MSA",255793,83698,1978.51,43.54,1934.97,132.2,43.3
33660,"Mobile, AL",O3,4th Max,1,0.087,0.061,0.076,0.074,0.072,0.079,0.081,0.081,0.098,0.085,0.089,0.076,0.075,0.08,0.074,0.073,0.085,0.077,0.076,0.067,0.074,0.07,0.069,0.06,0.068,0.06,0.062,3800000US5160,5160,"United States - In metropolitan statistical area - Mobile, AL MSA","Mobile, AL MSA",540258,239386,3670.95,841.51,2829.44,190.9,84.6,310M100US33660,33660,"United States - In metropolitan statistical area - Mobile, AL MSA",412992,178196,1644.01,414.58,1229.44,335.9,144.9
33700,"Modesto, CA",NO2,Annual Mean,1,21,21,21,17,18,17,17,18,18,19,16,17,17,15,14,13,13,12,12,11,10,11,11,11,10,9,9,3800000US5170,5170,"United States - In metropolitan statistical area - Modesto, CA MSA","Modesto, CA MSA",446997,150807,1514.67,20.88,1493.79,299.2,101,310M100US33700,33700,"United States - In metropolitan statistical area - Modesto, CA MSA",514453,179503,1514.69,19.86,1494.83,344.2,120.1
33700,"Modesto, CA",CO,2nd Max,1,4.1,4.1,4.1,2.7,3.9,3,3,3.2,3.2,3.4,2.9,3.1,2.7,2,1.8,1.8,2,1.7,1.4,1.4,1.5,1.4,1.4,1.5,1.1,0.9,0.9,3800000US5170,5170,"United States - In metropolitan statistical area - Modesto, CA MSA","Modesto, CA MSA",446997,150807,1514.67,20.88,1493.79,299.2,101,310M100US33700,33700,"United States - In metropolitan statistical area - Modesto, CA MSA",514453,179503,1514.69,19.86,1494.83,344.2,120.1
33700,"Modesto, CA",O3,4th Max,2,0.096,0.091,0.089,0.093,0.09,0.099,0.096,0.086,0.103,0.089,0.089,0.093,0.095,0.088,0.084,0.084,0.091,0.076,0.098,0.083,0.08,0.081,0.085,0.078,0.081,0.084,0.083,3800000US5170,5170,"United States - In metropolitan statistical area - Modesto, CA MSA","Modesto, CA MSA",446997,150807,1514.67,20.88,1493.79,299.2,101,310M100US33700,33700,"United States - In metropolitan statistical area - Modesto, CA MSA",514453,179503,1514.69,19.86,1494.83,344.2,120.1
33860,"Montgomery, AL",O3,4th Max,1,0.078,0.066,0.076,0.085,0.078,0.087,0.076,0.07,0.091,0.077,0.084,0.077,0.08,0.071,0.072,0.069,0.072,0.074,0.068,0.061,0.073,0.068,0.065,0.061,0.06,0.061,0.061,3800000US5240,5240,"United States - In metropolitan statistical area - Montgomery, AL MSA","Montgomery, AL MSA",333055,138832,2061.41,54.43,2006.99,165.9,69.2,310M100US33860,33860,"United States - In metropolitan statistical area - Montgomery, AL MSA",374536,161573,2786.41,73.33,2713.08,138,59.6
36420,"Oklahoma City, OK",NO2,98th Percentile,1,59,59,55,60,60,60,59,63,63,63,57,55,59,55,54,53,55,52,54,45,47,55,60,46,46,43,45,3800000US5880,5880,"United States - In metropolitan statistical area - Oklahoma City, OK MSA","Oklahoma City, OK MSA",1083346,466230,4304.13,57.39,4246.74,255.1,109.8,310M100US36420,36420,"United States - In metropolitan statistical area - Oklahoma City, OK MSA",1252987,539077,5581.72,70.16,5511.56,227.3,97.8
36420,"Oklahoma City, OK",NO2,Annual Mean,2,13,11,12,12,13,12,12,13,12,12,12,12,12,10,9,10,9,9,8,7,8,8,7,7,6,6,6,3800000US5880,5880,"United States - In metropolitan statistical area - Oklahoma City, OK MSA","Oklahoma City, OK MSA",1083346,466230,4304.13,57.39,4246.74,255.1,109.8,310M100US36420,36420,"United States - In metropolitan statistical area - Oklahoma City, OK MSA",1252987,539077,5581.72,70.16,5511.56,227.3,97.8
36420,"Oklahoma City, OK",O3,4th Max,3,0.078,0.08,0.074,0.072,0.081,0.086,0.079,0.081,0.09,0.08,0.082,0.08,0.078,0.079,0.074,0.077,0.083,0.074,0.072,0.073,0.071,0.082,0.08,0.071,0.068,0.067,0.066,3800000US5880,5880,"United States - In metropolitan statistical area - Oklahoma City, OK MSA","Oklahoma City, OK MSA",1083346,466230,4304.13,57.39,4246.74,255.1,109.8,310M100US36420,36420,"United States - In metropolitan statistical area - Oklahoma City, OK MSA",1252987,539077,5581.72,70.16,5511.56,227.3,97.8
36980,"Owensboro, KY",SO2,99th Percentile,1,188,167,211,168,181,99,88,92,119,98,73,72,89,98,81,91,58,64,54,43,68,40,37,45,48,37,25,3800000US5990,5990,"United States - In metropolitan statistical area - Owensboro, KY MSA","Owensboro, KY MSA",91545,38432,476.27,13.88,462.39,198,83.1,310M100US36980,36980,"United States - In metropolitan statistical area - Owensboro, KY MSA",114752,49450,931.69,33.22,898.47,127.7,55
36980,"Owensboro, KY",NO2,98th Percentile,1,46,44,49,48,49,55,44,46,45,42,45,44,40,40,35,35,33,36,36,35,38,33,31,31,31,33,29,3800000US5990,5990,"United States - In metropolitan statistical area - Owensboro, KY MSA","Owensboro, KY MSA",91545,38432,476.27,13.88,462.39,198,83.1,310M100US36980,36980,"United States - In metropolitan statistical area - Owensboro, KY MSA",114752,49450,931.69,33.22,898.47,127.7,55
36980,"Owensboro, KY",NO2,Annual Mean,1,11,11,12,12,12,13,11,12,13,11,11,10,10,10,8,8,6,4,7,6,7,6,6,5,5,4,4,3800000US5990,5990,"United States - In metropolitan statistical area - Owensboro, KY MSA","Owensboro, KY MSA",91545,38432,476.27,13.88,462.39,198,83.1,310M100US36980,36980,"United States - In metropolitan statistical area - Owensboro, KY MSA",114752,49450,931.69,33.22,898.47,127.7,55
36980,"Owensboro, KY",O3,4th Max,2,0.095,0.076,0.076,0.082,0.091,0.092,0.088,0.086,0.091,0.092,0.077,0.075,0.09,0.073,0.069,0.078,0.076,0.084,0.072,0.068,0.073,0.078,0.084,0.065,0.065,0.068,0.068,3800000US5990,5990,"United States - In metropolitan statistical area - Owensboro, KY MSA","Owensboro, KY MSA",91545,38432,476.27,13.88,462.39,198,83.1,310M100US36980,36980,"United States - In metropolitan statistical area - Owensboro, KY MSA",114752,49450,931.69,33.22,898.47,127.7,55
38300,"Pittsburgh, PA",SO2,99th Percentile,4,153,144,154,144,172,138,106,111,119,107,111,117,116,116,104,104,91,127,90,98,70,65,50,36,49,49,32,3800000US6280,6280,"United States - In metropolitan statistical area - Pittsburgh, PA MSA","Pittsburgh, PA MSA",2358695,1046094,4678.69,53.06,4625.63,509.9,226.2,310M100US38300,38300,"United States - In metropolitan statistical area - Pittsburgh, PA MSA",2356285,1102048,5342.45,60.97,5281.48,446.1,208.7
38300,"Pittsburgh, PA",PM10,2nd Max,6,99,90.3,88.8,89,94.7,81.5,70.2,76,69.5,67.7,62.2,67.5,67.3,67.7,67,69.3,56.2,57.7,55,49.8,56.7,49.2,44.8,36.3,37.5,40.5,40.3,3800000US6280,6280,"United States - In metropolitan statistical area - Pittsburgh, PA MSA","Pittsburgh, PA MSA",2358695,1046094,4678.69,53.06,4625.63,509.9,226.2,310M100US38300,38300,"United States - In metropolitan statistical area - Pittsburgh, PA MSA",2356285,1102048,5342.45,60.97,5281.48,446.1,208.7
38300,"Pittsburgh, PA",NO2,98th Percentile,2,62,65,64,59,58,57,54,52,52,54,52,48,49,47,44,47,48,43,42,41,41,38,37,36,42,40,38,3800000US6280,6280,"United States - In metropolitan statistical area - Pittsburgh, PA MSA","Pittsburgh, PA MSA",2358695,1046094,4678.69,53.06,4625.63,509.9,226.2,310M100US38300,38300,"United States - In metropolitan statistical area - Pittsburgh, PA MSA",2356285,1102048,5342.45,60.97,5281.48,446.1,208.7
38300,"Pittsburgh, PA",NO2,Annual Mean,3,22,21,21,20,22,20,20,18,20,19,17,17,17,15,15,15,14,13,13,11,11,10,10,9,10,9,8,3800000US6280,6280,"United States - In metropolitan statistical area - Pittsburgh, PA MSA","Pittsburgh, PA MSA",2358695,1046094,4678.69,53.06,4625.63,509.9,226.2,310M100US38300,38300,"United States - In metropolitan statistical area - Pittsburgh, PA MSA",2356285,1102048,5342.45,60.97,5281.48,446.1,208.7
38300,"Pittsburgh, PA",CO,2nd Max,2,5.6,3.9,4.8,3.7,5.1,4.4,3.4,2.7,2.9,2.8,2.2,2.3,1.9,1.7,1.9,1.7,1.6,2.3,1.3,1.1,1.3,1.3,1.5,1.1,1.1,1.2,1.2,3800000US6280,6280,"United States - In metropolitan statistical area - Pittsburgh, PA MSA","Pittsburgh, PA MSA",2358695,1046094,4678.69,53.06,4625.63,509.9,226.2,310M100US38300,38300,"United States - In metropolitan statistical area - Pittsburgh, PA MSA",2356285,1102048,5342.45,60.97,5281.48,446.1,208.7
38300,"Pittsburgh, PA",Pb,rqmax,1,0.25,0.19,0.16,0.15,0.12,0.09,0.06,0.08,0.06,0.07,0.08,0.06,0.08,0.1,0.09,0.15,0.2,0.12,0.17,0.13,0.09,0.12,0.15,0.13,0.05,0.02,0.02,3800000US6280,6280,"United States - In metropolitan statistical area - Pittsburgh, PA MSA","Pittsburgh, PA MSA",2358695,1046094,4678.69,53.06,4625.63,509.9,226.2,310M100US38300,38300,"United States - In metropolitan statistical area - Pittsburgh, PA MSA",2356285,1102048,5342.45,60.97,5281.48,446.1,208.7
38300,"Pittsburgh, PA",O3,4th Max,5,0.08,0.093,0.074,0.088,0.094,0.095,0.089,0.092,0.1,0.092,0.082,0.087,0.095,0.087,0.072,0.082,0.075,0.077,0.074,0.067,0.075,0.072,0.079,0.067,0.065,0.069,0.068,3800000US6280,6280,"United States - In metropolitan statistical area - Pittsburgh, PA MSA","Pittsburgh, PA MSA",2358695,1046094,4678.69,53.06,4625.63,509.9,226.2,310M100US38300,38300,"United States - In metropolitan statistical area - Pittsburgh, PA MSA",2356285,1102048,5342.45,60.97,5281.48,446.1,208.7
38340,"Pittsfield, MA",O3,4th Max,1,0.092,0.092,0.087,0.083,0.074,0.072,0.081,0.078,0.069,0.075,0.072,0.092,0.086,0.083,0.071,0.087,0.076,0.08,0.072,0.066,0.073,0.067,0.073,0.066,0.063,0.063,0.063,3800000US6320,6320,"United States - In metropolitan statistical area - Pittsfield, MA MSA","Pittsfield, MA MSA",84699,40426,257.55,5.74,251.81,336.4,160.5,310M100US38340,38340,"United States - In metropolitan statistical area - Pittsfield, MA MSA",131219,68508,946.43,19.6,926.82,141.6,73.9
39340,"Provo-Orem, UT",PM10,2nd Max,2,117,210,191,193.5,97.5,92.5,125,104.5,68.5,82,77.5,97,92,87.5,93,68.5,80.5,101.5,133.5,121,96.5,61,67,121.5,57,54,63,3800000US6520,6520,"United States - In metropolitan statistical area - Provo-Orem, UT MSA","Provo-Orem, UT MSA",368536,104315,2140.98,142.64,1998.33,184.4,52.2,310M100US39340,39340,"United States - In metropolitan statistical area - Provo-Orem, UT MSA",526810,151852,5550.51,154.78,5395.73,97.6,28.1
39340,"Provo-Orem, UT",NO2,Annual Mean,1,19,19,19,26,24,23,24,23,24,24,24,24,25,22,22,21,20,21,19,18,15,17,17,19,17,14,15,3800000US6520,6520,"United States - In metropolitan statistical area - Provo-Orem, UT MSA","Provo-Orem, UT MSA",368536,104315,2140.98,142.64,1998.33,184.4,52.2,310M100US39340,39340,"United States - In metropolitan statistical area - Provo-Orem, UT MSA",526810,151852,5550.51,154.78,5395.73,97.6,28.1
39340,"Provo-Orem, UT",CO,2nd Max,1,10,7.4,7.6,5.5,5.7,4,5.6,4.3,4.1,4.2,3.4,3.7,3.1,2.6,2.5,2.1,2.1,2.5,1.8,2.5,1.9,2,1.8,2.1,1.9,2.1,1.3,3800000US6520,6520,"United States - In metropolitan statistical area - Provo-Orem, UT MSA","Provo-Orem, UT MSA",368536,104315,2140.98,142.64,1998.33,184.4,52.2,310M100US39340,39340,"United States - In metropolitan statistical area - Provo-Orem, UT MSA",526810,151852,5550.51,154.78,5395.73,97.6,28.1
39340,"Provo-Orem, UT",O3,4th Max,1,0.07,0.067,0.071,0.068,0.069,0.068,0.078,0.07,0.083,0.073,0.083,0.067,0.077,0.078,0.069,0.078,0.074,0.075,0.074,0.068,0.07,0.065,0.077,0.077,0.068,0.073,0.072,3800000US6520,6520,"United States - In metropolitan statistical area - Provo-Orem, UT MSA","Provo-Orem, UT MSA",368536,104315,2140.98,142.64,1998.33,184.4,52.2,310M100US39340,39340,"United States - In metropolitan statistical area - Provo-Orem, UT MSA",526810,151852,5550.51,154.78,5395.73,97.6,28.1
39660,"Rapid City, SD",PM10,2nd Max,1,67,166,101,84,85,83,75,69,58,49,55,59,50,62,41,33,42,54,47,44,61,48,50,43,49,35,33,3800000US6660,6660,"United States - In metropolitan statistical area - Rapid City, SD MSA","Rapid City, SD MSA",88565,37249,2784.31,8.16,2776.15,31.9,13.4,310M100US39660,39660,"United States - In metropolitan statistical area - Rapid City, SD MSA",126382,55949,6267.11,19.57,6247.54,20.2,9
39740,"Reading, PA",Pb,rqmax,1,0.62,0.6,0.43,0.57,0.84,0.53,0.27,0.33,0.33,0.29,0.33,0.32,0.24,0.41,0.43,0.4,0.36,0.36,0.24,0.25,0.2,0.18,0.22,0.17,0.03,0.03,0.01,3800000US6680,6680,"United States - In metropolitan statistical area - Reading, PA MSA","Reading, PA MSA",373638,150222,865.67,6.79,858.88,435,174.9,310M100US39740,39740,"United States - In metropolitan statistical area - Reading, PA MSA",411442,164827,865.76,9.25,856.51,480.4,192.4
39820,"Redding, CA",PM10,2nd Max,1,59,74,58,50,54,47,34,40,48,75,38,44,50,31,40,28,46,33,113,31,23,26,33,28,29,25,27,3800000US6690,6690,"United States - In metropolitan statistical area - Redding, CA MSA","Redding, CA MSA",163256,68810,3847.44,62.24,3785.19,43.1,18.2,310M100US39820,39820,"United States - In metropolitan statistical area - Redding, CA MSA",177223,77313,3847.42,72.02,3775.4,46.9,20.5
39820,"Redding, CA",O3,4th Max,1,0.078,0.066,0.066,0.064,0.078,0.074,0.073,0.067,0.078,0.084,0.074,0.073,0.075,0.07,0.068,0.067,0.074,0.076,0.083,0.064,0.065,0.065,0.071,0.068,0.065,0.066,0.064,3800000US6690,6690,"United States - In metropolitan statistical area - Redding, CA MSA","Redding, CA MSA",163256,68810,3847.44,62.24,3785.19,43.1,18.2,310M100US39820,39820,"United States - In metropolitan statistical area - Redding, CA MSA",177223,77313,3847.42,72.02,3775.4,46.9,20.5
40220,"Roanoke, VA",NO2,98th Percentile,1,50,55,51,51,53,55,50,51,52,49,49,51,47,47,47,46,46,42,37,37,41,38,37,35,39,31,37,3800000US6800,6800,"United States - In metropolitan statistical area - Roanoke, VA MSA","Roanoke, VA MSA",235932,104352,854.48,3.48,851,277.2,122.6,310M100US40220,40220,"United States - In metropolitan statistical area - Roanoke, VA MSA",308707,144987,1896.76,28.08,1868.68,165.2,77.6
40220,"Roanoke, VA",SO2,99th Percentile,1,30,30,32,37,26,23,19,22,24,21,19,18,19,17,16,15,22,17,12,10,10,9,5,5,6,5,4,3800000US6800,6800,"United States - In metropolitan statistical area - Roanoke, VA MSA","Roanoke, VA MSA",235932,104352,854.48,3.48,851,277.2,122.6,310M100US40220,40220,"United States - In metropolitan statistical area - Roanoke, VA MSA",308707,144987,1896.76,28.08,1868.68,165.2,77.6
40220,"Roanoke, VA",NO2,Annual Mean,1,13,14,13,14,13,13,13,13,14,13,11,14,13,13,14,14,12,10,7,7,8,7,7,6,6,5,6,3800000US6800,6800,"United States - In metropolitan statistical area - Roanoke, VA MSA","Roanoke, VA MSA",235932,104352,854.48,3.48,851,277.2,122.6,310M100US40220,40220,"United States - In metropolitan statistical area - Roanoke, VA MSA",308707,144987,1896.76,28.08,1868.68,165.2,77.6
40220,"Roanoke, VA",O3,4th Max,1,0.075,0.077,0.072,0.084,0.084,0.079,0.073,0.084,0.099,0.089,0.081,0.089,0.091,0.077,0.071,0.076,0.076,0.076,0.071,0.064,0.073,0.067,0.07,0.057,0.06,0.062,0.064,3800000US6800,6800,"United States - In metropolitan statistical area - Roanoke, VA MSA","Roanoke, VA MSA",235932,104352,854.48,3.48,851,277.2,122.6,310M100US40220,40220,"United States - In metropolitan statistical area - Roanoke, VA MSA",308707,144987,1896.76,28.08,1868.68,165.2,77.6
40380,"Rochester, NY",O3,4th Max,1,0.087,0.102,0.082,0.082,0.078,0.096,0.069,0.085,0.086,0.089,0.07,0.086,0.094,0.084,0.065,0.065,0.064,0.078,0.073,0.061,0.071,0.058,0.072,0.066,0.064,0.061,0.067,3800000US6840,6840,"United States - In metropolitan statistical area - Rochester, NY MSA","Rochester, NY MSA",1098201,451362,5365.42,1939.9,3425.52,320.6,131.8,310M100US40380,40380,"United States - In metropolitan statistical area - Rochester, NY MSA",1054323,455397,4869.99,1941.87,2928.12,360.1,155.5
40420,"Rockford, IL",O3,4th Max,1,0.072,0.076,0.083,0.066,0.079,0.086,0.078,0.073,0.071,0.077,0.07,0.075,0.078,0.071,0.061,0.075,0.063,0.073,0.06,0.067,0.063,0.068,0.074,0.063,0.07,0.066,0.07,3800000US6880,6880,"United States - In metropolitan statistical area - Rockford, IL MSA","Rockford, IL MSA",371236,150238,1564.48,10.65,1553.84,238.9,96.7,310M100US40420,40420,"United States - In metropolitan statistical area - Rockford, IL MSA",349431,145935,801.28,7.19,794.08,440,183.8
40580,"Rocky Mount, NC",O3,4th Max,1,0.084,0.087,0.089,0.092,0.088,0.084,0.08,0.089,0.091,0.092,0.085,0.085,0.095,0.088,0.072,0.079,0.074,0.08,0.075,0.066,0.072,0.072,0.071,0.064,0.062,0.061,0.064,3800000US6895,6895,"United States - In metropolitan statistical area - Rocky Mount, NC MSA","Rocky Mount, NC MSA",143026,61053,1049.27,3.98,1045.29,136.8,58.4,310M100US40580,40580,"United States - In metropolitan statistical area - Rocky Mount, NC MSA",152392,67124,1049.42,3.68,1045.74,145.7,64.2
41180,"St. Louis, MO-IL",SO2,99th Percentile,4,130,145,165,122,158,159,121,108,109,121,95,116,92,102,64,92,53,51,69,43,39,20,20,20,21,15,15,3800000US7040,7040,"United States - In metropolitan statistical area - St. Louis, MO-IL MSA","St. Louis, MO-IL MSA",2603607,1092915,6547.6,155.53,6392.07,407.3,171,310M100US41180,41180,"United States - In metropolitan statistical area - St. Louis, MO-IL MSA",2812896,1236222,8844.37,221.13,8623.24,326.2,143.4
41180,"St. Louis, MO-IL",NO2,98th Percentile,1,58,61,64,61,62,67,57,54,56,60,57,55,51,53,49,50,50,52,48,49,43,37,40,43,43,40,35,3800000US7040,7040,"United States - In metropolitan statistical area - St. Louis, MO-IL MSA","St. Louis, MO-IL MSA",2603607,1092915,6547.6,155.53,6392.07,407.3,171,310M100US41180,41180,"United States - In metropolitan statistical area - St. Louis, MO-IL MSA",2812896,1236222,8844.37,221.13,8623.24,326.2,143.4
41180,"St. Louis, MO-IL",NO2,Annual Mean,1,21,21,20,20,20,21,20,19,18,18,18,19,17,16,16,15,15,16,14,14,12,9,12,11,11,8,9,3800000US7040,7040,"United States - In metropolitan statistical area - St. Louis, MO-IL MSA","St. Louis, MO-IL MSA",2603607,1092915,6547.6,155.53,6392.07,407.3,171,310M100US41180,41180,"United States - In metropolitan statistical area - St. Louis, MO-IL MSA",2812896,1236222,8844.37,221.13,8623.24,326.2,143.4
41180,"St. Louis, MO-IL",Pb,rqmax,3,1.43,1.15,1.57,1.06,1.13,1.37,1.14,0.87,0.85,0.84,1.01,2.07,0.6,0.38,0.92,0.29,0.29,0.4,0.39,0.35,0.32,0.26,0.32,0.2,0.1,0.04,0.04,3800000US7040,7040,"United States - In metropolitan statistical area - St. Louis, MO-IL MSA","St. Louis, MO-IL MSA",2603607,1092915,6547.6,155.53,6392.07,407.3,171,310M100US41180,41180,"United States - In metropolitan statistical area - St. Louis, MO-IL MSA",2812896,1236222,8844.37,221.13,8623.24,326.2,143.4
41180,"St. Louis, MO-IL",O3,4th Max,7,0.085,0.084,0.08,0.08,0.085,0.092,0.087,0.085,0.085,0.09,0.082,0.079,0.092,0.084,0.074,0.087,0.078,0.081,0.068,0.068,0.075,0.078,0.085,0.069,0.068,0.067,0.072,3800000US7040,7040,"United States - In metropolitan statistical area - St. Louis, MO-IL MSA","St. Louis, MO-IL MSA",2603607,1092915,6547.6,155.53,6392.07,407.3,171,310M100US41180,41180,"United States - In metropolitan statistical area - St. Louis, MO-IL MSA",2812896,1236222,8844.37,221.13,8623.24,326.2,143.4
41500,"Salinas, CA",O3,4th Max,1,0.066,0.065,0.067,0.077,0.068,0.064,0.07,0.061,0.057,0.063,0.063,0.063,0.066,0.065,0.07,0.056,0.06,0.059,0.06,0.057,0.063,0.056,0.054,0.059,0.063,0.059,0.056,3800000US7120,7120,"United States - In metropolitan statistical area - Salinas, CA MSA","Salinas, CA MSA",401762,131708,3771.07,449.12,3321.95,120.9,39.6,310M100US41500,41500,"United States - In metropolitan statistical area - Salinas, CA MSA",415057,139048,3771.22,490.63,3280.6,126.5,42.4
